Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Bakso Goyang Lidah Pak Tulus,4.7,169,"Jl. Gambir Anom, Ngabean Wetan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.740816799999999,110.39597839999999,ChIJ5dH0LBJZei4R0DfnlW3z10E
Bakso Soto Special Pak Ateng,4.3,563,"Jl. Kaliurang No.4,5, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.766450600000001,110.38143369999999,ChIJSZQ5-LJZei4RGRTGHceZ9Aw
Bakso Mblenger Babarsari,4.4,1073,"Jl. Babarsari Jl. Tambak Bayan No.1, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.775309499999999,110.415551,ChIJH1lyypNZei4RslkXE9tA-aY
Bakso Urat Arema Cak Rosi Prasmanan,5,26,"Jl. Candi Gebang No.01, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",-7.7485701,110.4120794,ChIJdaA2h-BZei4RHfErnQG5n64
"Bakso Urat Spesial Selera Anda ""Pak Min""",4.6,397,"Jl. Kusbini No.33, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222, Indonesia",-7.7871538,110.3823309,ChIJ0-0iTtJZei4Rzhlaqq3BZUI
Bakso Pak Well Asli Wonosari,5,52,"Jl. Gempol Raya Jl. Asem Gede No.17, Gempol, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.750584399999999,110.4053783,ChIJdUaEqnVZei4RzeN6lJSbnO8
Bakso Lapangan Tembak Senayan - Pakuwon Mall Jogja,4.3,206,"Pakuwon Mall, Jl. Kaliwaru No.17 Lantai LG, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7602992,110.3991947,ChIJ5Y9HsKNZei4RHTiur8M_S9Q
Bakso Daeng YK,4.8,32,"Jl. Anggajaya 1 No.300a, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.757512299999999,110.39620529999999,ChIJIb4wBwBZei4RSU0KQGMCg-4
ZONA BAKSO SETURAN,4.1,81,"Gg. Gareng Jl. Astomulyo No.50, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia",-7.771258999999999,110.40499,ChIJc4OvBmJZei4Rrh422Qeveds
Bakso Soto & Mie Ayam Pak Man (Gawe Rejo Crew),4.3,174,"Jl. STM Pembangunan No.13, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7730088,110.39176189999999,ChIJsUZLkwxZei4RfsRWY9_4DEk
Bakso Mia Jaya,4.5,79,"Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.762727,110.41308339999999,ChIJU1Qzo5pZei4RI6RLOyWG2dI
